Account,Identifier,Account ID,Transaction Id,Currency,Transaction Type,Post Date,Amount
LCC-PNC-8268,CCYUSD,369052,1717299767,USD,Cash Transfer,11/20/2025,-13387500.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1717299744,USD,Cash Transfer,11/20/2025,-13080000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1718368863,USD,Cash Transfer,11/21/2025,-12000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1721889069,USD,Cash Transfer,11/25/2025,-10218000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1709649658,USD,Cash Transfer,11/10/2025,-10170000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1718368861,USD,Cash Transfer,11/21/2025,-10001288.89
LCI - PNC - Trading 6012,CCYUSD,369037,1719434864,USD,Cash Transfer,11/24/2025,-10000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1705487949,USD,Cash Transfer,11/4/2025,-10000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1711572935,USD,Cash Transfer,11/13/2025,-10000000.00
LCFP-JPM FIPB-2LAD,CCYUSD,369092,1719376306,USD,Cash Transfer,11/24/2025,-10000000.00
LCFP-JPM FIPB-2LAD,CCYUSD,369092,1719376317,USD,Cash Transfer,11/24/2025,-10000000.00
LCFHR-BNY MMF-6284,CCYUSD,369188,1709062043,USD,Cash Transfer,11/10/2025,-10000000.00
LCFHR-BNY MMF-6284,CCYUSD,369188,1715454982,USD,Cash Transfer,11/18/2025,-10000000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1718368858,USD,Cash Transfer,11/21/2025,-9975000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1705487946,USD,Cash Transfer,11/4/2025,-9900000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1721889032,USD,Cash Transfer,11/25/2025,-9450995.46
LCFHR - PNC Trading 9924,CCYUSD,369038,1714404894,USD,Cash Transfer,11/17/2025,-8600000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275461,USD,Cash Transfer,11/6/2025,-8100000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1704283889,USD,Cash Transfer,11/3/2025,-8025016.67
LCFHR-BNY MMF-6284,CCYUSD,369188,1704166496,USD,Cash Transfer,11/3/2025,-8000000.00
LCFHR-BNY MMF-6284,CCYUSD,369188,1714362729,USD,Cash Transfer,11/17/2025,-8000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275473,USD,Cash Transfer,11/6/2025,-7272000.00
LCR3-PNC-Trading6047,CCYUSD,369044,1707275428,USD,Cash Transfer,11/6/2025,-7272000.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1707275329,USD,Cash Transfer,11/6/2025,-7200000.00
LCF-PNC-Trading9916,CCYUSD,369041,1707275405,USD,Cash Transfer,11/6/2025,-7200000.00
LCC-PNC-8268,CCYUSD,369052,1707275886,USD,Cash Transfer,11/6/2025,-7200000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1707275377,USD,Cash Transfer,11/6/2025,-6550063.63
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275462,USD,Cash Transfer,11/6/2025,-6515000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1716342311,USD,Cash Transfer,11/19/2025,-6257441.95
LCR3-PNC-Trading6047,CCYUSD,369044,1709649721,USD,Cash Transfer,11/10/2025,-5847000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1705487947,USD,Cash Transfer,11/4/2025,-5072833.35
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275474,USD,Cash Transfer,11/6/2025,-4694670.12
LCFHR - PNC Trading 9924,CCYUSD,369038,1708345664,USD,Cash Transfer,11/7/2025,-4590075.28
LCI - PNC - Trading 6012,CCYUSD,369037,1715446328,USD,Cash Transfer,11/18/2025,-4300000.00
LCFP-JPM FIPB-2LAD,CCYUSD,369092,1715126538,USD,Cash Transfer,11/18/2025,-4300000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1712757847,USD,Cash Transfer,11/14/2025,-4169771.29
LCFHR - PNC Trading 9924,CCYUSD,369038,1711572936,USD,Cash Transfer,11/13/2025,-4169411.46
LCFHR - PNC Trading 9924,CCYUSD,369038,1718368860,USD,Cash Transfer,11/21/2025,-4131731.86
LCREF-PNC-Trading7285,CCYUSD,369053,1709649724,USD,Cash Transfer,11/10/2025,-3700000.00
LCREP-PNC-Trading7277,CCYUSD,369050,1709649714,USD,Cash Transfer,11/10/2025,-3663000.00
LCFP3-JPM FIPB-2LDD,CCYUSD,369007,1715126491,USD,Cash Transfer,11/18/2025,-3250000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1704283895,USD,Cash Transfer,11/3/2025,-2452621.69
LCFHR - PNC Trading 9924,CCYUSD,369038,1716342298,USD,Cash Transfer,11/19/2025,-2085021.37
LCREF-PNC-Trading7285,CCYUSD,369053,1709649722,USD,Cash Transfer,11/10/2025,-2000000.00
LCFHR-BNY MMF-6284,CCYUSD,369188,1721682188,USD,Cash Transfer,11/25/2025,-2000000.00
LCREP-PNC-Trading7277,CCYUSD,369050,1709649710,USD,Cash Transfer,11/10/2025,-1980000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1717299684,USD,Cash Transfer,11/20/2025,-1780000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1717299756,USD,Cash Transfer,11/20/2025,-1780000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1706309650,USD,Cash Transfer,11/5/2025,-1220000.00
TUERI-PNC-Trading5976,CCYUSD,369049,1706309661,USD,Cash Transfer,11/5/2025,-1220000.00
LCC-PNC-8268,CCYUSD,369052,1707275882,USD,Cash Transfer,11/6/2025,-1053397.06
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275470,USD,Cash Transfer,11/6/2025,-1053300.00
LCI - PNC - Trading 6012,CCYUSD,369037,1709649652,USD,Cash Transfer,11/10/2025,-1000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1709649662,USD,Cash Transfer,11/10/2025,-1000000.00
LCR3-PNC-Trading6047,CCYUSD,369044,1710390232,USD,Cash Transfer,11/12/2025,-947000.00
LCF-PNC-Trading9916,CCYUSD,369041,1710390075,USD,Cash Transfer,11/12/2025,-946255.03
LCFHR-JPM-7873,CCYUSD,369026,1707519998,USD,Cash Transfer,11/6/2025,-830000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1710390182,USD,Cash Transfer,11/12/2025,-700000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1710390422,USD,Cash Transfer,11/12/2025,-700000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1709649668,USD,Cash Transfer,11/10/2025,-600000.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1709649657,USD,Cash Transfer,11/10/2025,-600000.00
LCF-PNC-Trading9916,CCYUSD,369041,1708345674,USD,Cash Transfer,11/7/2025,-600000.00
LCC-PNC-8268,CCYUSD,369052,1709649715,USD,Cash Transfer,11/10/2025,-600000.00
LTRS1_ICLOAN,CCYUSD,403313,1711906221,USD,Cash Transfer,11/10/2025,-600000.00
LCF-PNC-Trading9916,CCYUSD,369041,1721859834,USD,Cash Transfer,11/25/2025,-585522.43
LCF-PNC-Trading9916,CCYUSD,369041,1709649674,USD,Cash Transfer,11/10/2025,-585496.60
LCR3-PNC-Trading6047,CCYUSD,369044,1717299734,USD,Cash Transfer,11/20/2025,-576000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1707275375,USD,Cash Transfer,11/6/2025,-514000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275466,USD,Cash Transfer,11/6/2025,-514000.00
LCI-JPM-5502,CCYUSD,369023,1718715203,USD,Cash Transfer,11/21/2025,-492000.00
LCFHR-JPM-7873,CCYUSD,369026,1718715438,USD,Cash Transfer,11/21/2025,-492000.00
TUERI-JPM-1777,CCYUSD,369036,1718715577,USD,Cash Transfer,11/21/2025,-490000.00
LCREP-PNC-Trading7277,CCYUSD,369050,1706309675,USD,Cash Transfer,11/5/2025,-445000.00
LCREP-PNC-Trading7277,CCYUSD,369050,1710389930,USD,Cash Transfer,11/12/2025,-440000.00
LCREF-PNC-Trading7285,CCYUSD,369053,1710390524,USD,Cash Transfer,11/12/2025,-437030.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1710390419,USD,Cash Transfer,11/12/2025,-435600.00
LCF-JPM-7610,CCYUSD,369017,1715226924,USD,Cash Transfer,11/18/2025,-400000.00
LCF-PNC-Trading9916,CCYUSD,369041,1714388846,USD,Cash Transfer,11/17/2025,-400000.00
LCF-JPM-7610,CCYUSD,369017,1718042030,USD,Cash Transfer,11/21/2025,-350000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1711572937,USD,Cash Transfer,11/13/2025,-312000.00
LCFP4-JPM FIPB-2LAC,CCYUSD,511983,1706104015,USD,Cash Transfer,11/5/2025,-300000.00
LCF-PNC-Trading9916,CCYUSD,369041,1719434920,USD,Cash Transfer,11/24/2025,-280000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1709649654,USD,Cash Transfer,11/10/2025,-233000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1709649659,USD,Cash Transfer,11/10/2025,-233000.00
LCF-JPM-7610,CCYUSD,369017,1712200807,USD,Cash Transfer,11/14/2025,-200000.00
LCREF-PNC-Trading7285,CCYUSD,369053,1706309669,USD,Cash Transfer,11/5/2025,-200000.00
LCR3-PNC-Trading6047,CCYUSD,369044,1719434915,USD,Cash Transfer,11/24/2025,-199370.83
LCFHR - PNC Trading 9924,CCYUSD,369038,1719434908,USD,Cash Transfer,11/24/2025,-199000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1704283891,USD,Cash Transfer,11/3/2025,-183000.00
TUERI-PNC-Trading5976,CCYUSD,369049,1705488010,USD,Cash Transfer,11/4/2025,-182796.41
LCI - PNC - Trading 6012,CCYUSD,369037,1707275376,USD,Cash Transfer,11/6/2025,-180000.00
TUERI-PNC-Trading5976,CCYUSD,369049,1707275580,USD,Cash Transfer,11/6/2025,-180000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1716342332,USD,Cash Transfer,11/19/2025,-150090.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1710390412,USD,Cash Transfer,11/12/2025,-150000.00
LCF-PNC-Trading Loan8877,CCYUSD,369043,1716342410,USD,Cash Transfer,11/19/2025,-150000.00
LCF-PNC-Trading Loan8877,CCYUSD,369043,1721859723,USD,Cash Transfer,11/25/2025,-150000.00
LCF-PNC-Trading Loan8877,CCYUSD,369043,1721859868,USD,Cash Transfer,11/25/2025,-148500.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1717299724,USD,Cash Transfer,11/20/2025,-112500.00
LCC-PNC-8268,CCYUSD,369052,1717299771,USD,Cash Transfer,11/20/2025,-112500.00
MID2T-PNC-7995,CCYUSD,369197,1722360511,USD,Cash Transfer,11/20/2025,-112500.00
LCC-PNC-8268,CCYUSD,369052,1708345679,USD,Cash Transfer,11/7/2025,-105400.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1708345671,USD,Cash Transfer,11/7/2025,-105000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1716342325,USD,Cash Transfer,11/19/2025,-105000.00
LCC-PNC-8268,CCYUSD,369052,1716342476,USD,Cash Transfer,11/19/2025,-103856.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1719434904,USD,Cash Transfer,11/24/2025,-100000.00
LCF-PNC-Trading9916,CCYUSD,369041,1717299766,USD,Cash Transfer,11/20/2025,-85311.98
